kpid,image__id,image_name,date_time,depth,label,code,x,y,latitude,longitude,altitude,pitch,roll,salinity,temperature,yaw
918743,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,166,BRYS,0.626931024,0.616838938,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918742,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,166,BRYS,0.253911247,0.311984823,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918741,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,166,BRYS,0.275115615,0.505233547,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918740,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,166,BRYS,0.351323428,0.479065812,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918739,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.540145626,0.232696585,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918738,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.557414149,0.132147063,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918737,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.583439929,0.274303284,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918736,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.674800748,0.25592045,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918735,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.645085113,0.14130577,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918734,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.486568926,0.033494701,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918733,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.897028436,0.176697632,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918732,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.45050674,0.950085045,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918731,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.475991341,0.937132016,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918730,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.872872183,0.061755855,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918729,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.551657975,0.136988094,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918728,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.398799567,0.975533168,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918727,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.742497294,0.149941123,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918726,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,45,MALCB,0.80281413,0.184613372,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918725,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.405933287,0.725369619,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918724,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.812850536,0.902852283,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918723,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.960985929,0.925683632,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918722,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.024697432,0.297527149,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918721,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.09746138,0.733350778,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918720,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.275312408,0.715360461,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918719,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.371986618,0.561886694,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918718,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.92551412,0.592241267,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918717,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.783134901,0.793340311,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918716,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.329528682,0.454075625,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
918715,2721693,PR_20081008_020807_638_LC16,2008-10-08 02:08:07.638199+00:00,34.79077389,39,MA,0.669339762,0.656286798,-43.08447805,147.9760948,1.783,,,35.15563208,11.97637736,
