kpid,image__id,image_name,date_time,campaign,deployment,depth,label,code,x,y,latitude,longitude,altitude,pitch,roll,salinity,temperature,yaw
920093,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.47294106071042,0.174800471019233,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920092,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.0971169930138739,0.0539055344759911,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920091,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.966938895995277,0.605979327489206,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920090,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.521745547574535,0.81028391992673,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920089,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.0053133917150447,0.89958131623708,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920088,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.625799468660828,0.948318723014523,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920087,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.819000295188429,0.111605390553448,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920086,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.623536357374791,0.43811330629334,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920085,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.726606317032372,0.818526756509224,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920084,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.168109810095444,0.820554755985869,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920083,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.392207025484601,0.575559335339526,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920082,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.619059332874151,0.967879105063457,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
920081,2725454,PR_20081007_023943_011_LC16,2008-10-07 02:39:43.011093+00:00,Tasmania 2008,r20081006_231255_waterfall_05_transect,37.5585631814301,241,SUS,0.43604250713372,0.618016485673165,-43.0617032195,147.96623485,2.0,,,35.1480476190476,12.0170476190476,
